Street,Peak Hour,Current Peak,After Spreading,Reduction %,Car Reduction %,Bike Reduction %,Parking Freed,Parking Impact %
Graaf Karel de Goedelaan,12:00,25,16,34.4%,-14.8%,29.5%,0,8.8%
Sintmartenslatemlaan,12:00,102,88,14.2%,10.0%,14.6%,0,0.0%
