datetime,hour,pred_car,pred_bike,pred_heavy,pred_pedestrian,pred_total_people,car,bike,pedestrian,heavy,total,parking_occupied
2026-01-27 00:00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-27 01:00:00,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-27 02:00:00,2,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0
2026-01-27 03:00:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-27 04:00:00,4,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0
2026-01-27 05:00:00,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-27 06:00:00,6,0.0,0.0,0.0,0.0,0.0025862068965000003,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-27 07:00:00,7,0.04904017063449999,0.0,0.0,0.0,0.0918631724905,0.04904017063449999,0.0,0.0,0.0,0.04904017063449999,0.04904017063449999
2026-01-27 08:00:00,8,0.7076347487839999,0.14767086387349998,2.333943785722499,0.36250416898300003,4.900181450587499,0.7076347487839999,0.14767086387349998,0.36250416898300003,2.333943785722499,3.551753567362999,0.7566749194184998
2026-01-27 09:00:00,9,0.6463294604030003,0.15321498307050002,1.6504414961049998,2.3116460218390005,5.953530814613499,0.6463294604030003,0.15321498307050002,2.3116460218390005,1.6504414961049998,4.761631961417501,1.4030043798215002
2026-01-27 10:00:00,10,1.2262017781884997,0.49272729746549987,4.731363946435,4.542780181644499,12.601684628399001,1.2262017781884997,0.49272729746549987,4.542780181644499,4.731363946435,10.993073203733498,2.5801659873754996
2026-01-27 11:00:00,11,1.6707583133295003,1.9975129309405006,4.691989775991,8.775914980161001,22.362498921636995,1.176170825867,1.655599556696167,9.862329580892165,3.5156800888493334,16.209780052304666,3.0487020644585003
2026-01-27 12:00:00,12,1.0249694274569998,2.3468605422080002,3.0039979686950007,12.1421707398865,24.711957778805996,1.176170825867,1.655599556696167,9.862329580892165,3.5156800888493334,16.209780052304666,3.5785434299224996
2026-01-27 13:00:00,13,0.8327847368144998,0.62242519694,2.851052521862,8.668903022628998,18.379381159915,1.176170825867,1.655599556696167,9.862329580892165,3.5156800888493334,16.209780052304666,3.528512477601
2026-01-27 14:00:00,14,0.9151770530889992,0.9022820618699997,4.4101742539860025,10.147696643795996,19.522538392566986,0.9151770530889992,0.9022820618699997,10.147696643795996,4.4101742539860025,16.375330012740996,3.2675187048229994
2026-01-27 15:00:00,15,0.755750528583,0.21745553084900002,5.4547179884335,4.187053599937999,11.915693815835,0.755750528583,0.21745553084900002,4.187053599937999,5.4547179884335,10.6149776478035,2.8470984075389993
2026-01-27 16:00:00,16,0.7681329442185,1.1623068371285,7.050063491038501,1.8556370742214994,11.524057595656,0.7681329442185,1.1623068371285,1.8556370742214994,7.050063491038501,10.836140346607,2.439060525890499
2026-01-27 17:00:00,17,0.0026346604215000003,3.2015897720959994,0.0,0.0,0.2752080014309998,0.0026346604215000003,3.2015897720959994,0.0,0.0,3.2042244325174996,1.5265181332229998
2026-01-27 18:00:00,18,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.7707676046399999
2026-01-27 19:00:00,19,0.005047672462,0.0,0.0,0.0,0.0,0.005047672462,0.0,0.0,0.0,0.005047672462,0.007682332883500001
2026-01-27 20:00:00,20,0.0,0.0025,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0025,0.005047672462
2026-01-27 21:00:00,21,0.0,0.0025,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0025,0.005047672462
2026-01-27 22:00:00,22,0.0,0.005,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.005,0.0
2026-01-27 23:00:00,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
