datetime,hour,dayofweek,car,bike,pedestrian,total_people,heavy,weather_type
2026-01-20 00:00:00,0,1,0.0,0.0,0.0,0.0,0,dry
2026-01-20 01:00:00,1,1,0.0,0.0,0.0,0.0,0,dry
2026-01-20 02:00:00,2,1,0.0,0.0,0.0,0.0,0,dry
2026-01-20 03:00:00,3,1,0.0,0.0,0.0,0.0,0,dry
2026-01-20 04:00:00,4,1,0.0,0.0,0.0,0.0,0,dry
2026-01-20 05:00:00,5,1,0.0,0.0,0.0,0.0,0,dry
2026-01-20 06:00:00,6,1,0.0,0.0,0.0,0.0,0,dry
2026-01-20 07:00:00,7,1,0.129629016535,0.0,0.0,0.129629016535,0,dry
2026-01-20 08:00:00,8,1,10.301699258534999,1.2740253173775,1.8631846724749999,13.4389092483875,0,dry
2026-01-20 09:00:00,9,1,17.688553197105406,3.701161591527027,8.36449453981081,29.754209328443242,0,dry
2026-01-20 10:00:00,10,1,17.952623855083782,4.013663591991891,17.78233193483784,39.748619381913514,0,dry
2026-01-20 11:00:00,11,1,14.431309356178378,3.967000015524324,14.586642115732431,32.98495148743513,0,dry
2026-01-20 12:00:00,12,1,22.152196455005406,7.804411371648649,35.900204530694594,65.85681235734864,0,dry
2026-01-20 13:00:00,13,1,18.515779248224998,6.330893195503125,31.94771860509375,56.79439104882187,0,dry
2026-01-20 14:00:00,14,1,12.884179948181579,3.608478307281579,15.312928118607894,31.80558637407105,0,dry
2026-01-20 15:00:00,15,1,15.389527644059461,3.581542512894594,17.345464810083783,36.31653496703784,0,dry
2026-01-20 16:00:00,16,1,12.809691936914636,4.329182655146341,7.1929774332902445,24.33185202535122,0,dry
2026-01-20 17:00:00,17,1,0.21790203207380954,0.025755494504761906,0.0,0.24365752657857143,0,dry
2026-01-20 18:00:00,18,1,0.0,0.0,0.0,0.0,0,dry
2026-01-20 19:00:00,19,1,0.012018267766666667,0.0,0.0,0.012018267766666667,0,dry
2026-01-20 20:00:00,20,1,0.0,0.0,0.0,0.0,0,dry
2026-01-20 21:00:00,21,1,0.0,0.0,0.0,0.0,0,dry
2026-01-20 22:00:00,22,1,0.0,0.0,0.0,0.0,0,dry
2026-01-20 23:00:00,23,1,0.0,0.0,0.0,0.0,0,dry
2026-01-21 00:00:00,0,2,0.0,0.0,0.0,0.0,0,dry
2026-01-21 01:00:00,1,2,0.0,0.0,0.0,0.0,0,dry
2026-01-21 02:00:00,2,2,0.0,0.0,0.0,0.0,0,dry
2026-01-21 03:00:00,3,2,0.0,0.0,0.0,0.0,0,dry
2026-01-21 04:00:00,4,2,0.0,0.0,0.0,0.0,0,dry
2026-01-21 05:00:00,5,2,0.0,0.0,0.0,0.0,0,dry
2026-01-21 06:00:00,6,2,0.0,0.0,0.0,0.0,0,dry
2026-01-21 07:00:00,7,2,0.129629016535,0.0,0.0,0.129629016535,0,dry
2026-01-21 08:00:00,8,2,10.301699258534999,1.2740253173775,1.8631846724749999,13.4389092483875,0,dry
2026-01-21 09:00:00,9,2,17.688553197105406,3.701161591527027,8.36449453981081,29.754209328443242,0,dry
2026-01-21 10:00:00,10,2,17.952623855083782,4.013663591991891,17.78233193483784,39.748619381913514,0,dry
2026-01-21 11:00:00,11,2,14.431309356178378,3.967000015524324,14.586642115732431,32.98495148743513,0,dry
2026-01-21 12:00:00,12,2,22.152196455005406,7.804411371648649,35.900204530694594,65.85681235734864,0,dry
2026-01-21 13:00:00,13,2,18.515779248224998,6.330893195503125,31.94771860509375,56.79439104882187,0,dry
2026-01-21 14:00:00,14,2,12.884179948181579,3.608478307281579,15.312928118607894,31.80558637407105,0,dry
2026-01-21 15:00:00,15,2,15.389527644059461,3.581542512894594,17.345464810083783,36.31653496703784,0,dry
2026-01-21 16:00:00,16,2,12.809691936914636,4.329182655146341,7.1929774332902445,24.33185202535122,0,dry
2026-01-21 17:00:00,17,2,0.21790203207380954,0.025755494504761906,0.0,0.24365752657857143,0,dry
2026-01-21 18:00:00,18,2,0.0,0.0,0.0,0.0,0,dry
2026-01-21 19:00:00,19,2,0.012018267766666667,0.0,0.0,0.012018267766666667,0,dry
2026-01-21 20:00:00,20,2,0.0,0.0,0.0,0.0,0,dry
2026-01-21 21:00:00,21,2,0.0,0.0,0.0,0.0,0,dry
2026-01-21 22:00:00,22,2,0.0,0.0,0.0,0.0,0,dry
2026-01-21 23:00:00,23,2,0.0,0.0,0.0,0.0,0,dry
2026-01-22 00:00:00,0,3,0.0,0.0,0.0,0.0,0,dry
2026-01-22 01:00:00,1,3,0.0,0.0,0.0,0.0,0,dry
2026-01-22 02:00:00,2,3,0.0,0.0,0.0,0.0,0,dry
2026-01-22 03:00:00,3,3,0.0,0.0,0.0,0.0,0,dry
2026-01-22 04:00:00,4,3,0.0,0.0,0.0,0.0,0,dry
2026-01-22 05:00:00,5,3,0.0,0.0,0.0,0.0,0,dry
2026-01-22 06:00:00,6,3,0.0,0.0,0.0,0.0,0,dry
2026-01-22 07:00:00,7,3,0.129629016535,0.0,0.0,0.129629016535,0,dry
2026-01-22 08:00:00,8,3,10.301699258534999,1.2740253173775,1.8631846724749999,13.4389092483875,0,dry
2026-01-22 09:00:00,9,3,17.688553197105406,3.701161591527027,8.36449453981081,29.754209328443242,0,dry
2026-01-22 10:00:00,10,3,17.952623855083782,4.013663591991891,17.78233193483784,39.748619381913514,0,dry
2026-01-22 11:00:00,11,3,14.431309356178378,3.967000015524324,14.586642115732431,32.98495148743513,0,dry
2026-01-22 12:00:00,12,3,22.152196455005406,7.804411371648649,35.900204530694594,65.85681235734864,0,dry
2026-01-22 13:00:00,13,3,18.515779248224998,6.330893195503125,31.94771860509375,56.79439104882187,0,dry
2026-01-22 14:00:00,14,3,12.884179948181579,3.608478307281579,15.312928118607894,31.80558637407105,0,dry
2026-01-22 15:00:00,15,3,15.389527644059461,3.581542512894594,17.345464810083783,36.31653496703784,0,dry
