instance_id,segment_id,date_x,interval,uptime,heavy,car,bike,pedestrian,night,heavy_lft,heavy_rgt,car_lft,car_rgt,bike_lft,bike_rgt,pedestrian_lft,pedestrian_rgt,night_lft,night_rgt,direction,car_speed_hist_0to70plus,car_speed_hist_0to120plus,timezone,v85,street_name,temperature_c,precipitation_mm,rain_mm,snowfall_cm,cloud_cover_pct,wind_speed_kmh,sunshine_duration_s,datetime,date_only,hour,dayofweek,is_weekend,date_y,is_holiday,date,is_school_vacation,street_code,total_people,is_rain
-1,9000008372,2025-11-21 19:00:00+01:00,hourly,0.9991666667,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,,Sintmartenslatemlaan,-0.5,0.0,0.0,0.0,0,3.2,0.0,2025-11-21 19:00:00+01:00,2025-11-21,19,4,0,,0,,0,1,0.0,0
-1,9000008372,2025-11-21 20:00:00+01:00,hourly,0.9991666667,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,,Sintmartenslatemlaan,-1.2,0.0,0.0,0.0,0,2.8,0.0,2025-11-21 20:00:00+01:00,2025-11-21,20,4,0,,0,,0,1,0.0,0
-1,9000008372,2025-11-21 21:00:00+01:00,hourly,0.9930555556,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,,Sintmartenslatemlaan,-1.9,0.0,0.0,0.0,91,4.6,0.0,2025-11-21 21:00:00+01:00,2025-11-21,21,4,0,,0,,0,1,0.0,0
-1,9000008372,2025-11-21 22:00:00+01:00,hourly,0.9358333333,0.0,0.0,0.0,0.0,4.2915710548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2150160309,1.0765550239,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,,Sintmartenslatemlaan,-2.2,0.0,0.0,0.0,92,5.4,0.0,2025-11-21 22:00:00+01:00,2025-11-21,22,4,0,,0,,0,1,0.0,0
-1,9000008372,2025-11-21 23:00:00+01:00,hourly,0.9694444444,0.0,0.0,0.0,0.0,6.6890012642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5512010114,1.1378002528,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,,Sintmartenslatemlaan,-2.0,0.0,0.0,0.0,98,5.9,0.0,2025-11-21 23:00:00+01:00,2025-11-21,23,4,0,,0,,0,1,0.0,0
-1,9000008372,2025-11-22 00:00:00+01:00,hourly,0.9991666667,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,,Sintmartenslatemlaan,-2.0,0.0,0.0,0.0,100,6.1,0.0,2025-11-22 00:00:00+01:00,2025-11-22,0,5,1,,0,,0,1,0.0,0
-1,9000008372,2025-11-22 01:00:00+01:00,hourly,0.9741666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,,Sintmartenslatemlaan,-2.0,0.0,0.0,0.0,100,8.4,0.0,2025-11-22 01:00:00+01:00,2025-11-22,1,5,1,,0,,0,1,0.0,0
-1,9000008372,2025-11-22 02:00:00+01:00,hourly,0.9827777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,,Sintmartenslatemlaan,-2.0,0.0,0.0,0.0,31,8.8,0.0,2025-11-22 02:00:00+01:00,2025-11-22,2,5,1,,0,,0,1,0.0,0
-1,9000008372,2025-11-22 03:00:00+01:00,hourly,0.9736111111,0.0,0.0,0.0,0.0,1.1152416357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1152416357,0.0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,,Sintmartenslatemlaan,-2.0,0.0,0.0,0.0,14,9.6,0.0,2025-11-22 03:00:00+01:00,2025-11-22,3,5,1,,0,,0,1,0.0,0
-1,9000008372,2025-11-22 04:00:00+01:00,hourly,0.9866666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Paris,,Sintmartenslatemlaan,-1.8,0.0,0.0,0.0,66,10.7,0.0,2025-11-22 04:00:00+01:00,2025-11-22,4,5,1,,0,,0,1,0.0,0
